CODE,CODE_EN_DES,CODE_VI_DES,HSCODE,Manual
90ACC0375,"ACC,TDR,RESTRICTED,7"",MGL9800I",PH? KI?N ??U ??C MÃ V?CH,84733090,PH? KI?N
710034600,RECEIVING LENS ASSEMBLY NEON,TH?U KÍNH,90021900,TH?U KÍNH
131128603,"USB RUBBER COVER, HC, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131128613,"USB RUBBER COVER, LIGHT, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
131128623,"USB RUBBER COVER, DARK, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
278171610,SUPPORT LH  MSC CRADLE MEMOR 1,MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
163196290,,NHÃN (NH?A CU?N),39191099,NHÃN (NH?A CU?N)
94ACC0193,"RUBBER BOOT, MEMOR 10",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
010000769,SCREW M1.6X35X14 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
010000770,SCREW M1.6X35X10 PAN PHILLIPS,?C VÍT,73181590,?C VÍT
019900909,"SPACER, HEX, M2X15, M/F",MI?NG ??M,58061090,MI?NG ??M
019900911,"NUT, HEX, M2X0.4X1.6",?AI ?C,73181690,?AI ?C
019900913,"NUT, HEX, M2X0.4X1.2",?AI ?C,73181690,?AI ?C
019900914,"WASHER 3,2X0,5 POLYSLIDER",MI?NG ??M,58061090,MI?NG ??M
019900915,"SPACER, RND, DURACON 4X5",MI?NG ??M,58061090,MI?NG ??M
040000187,SLIDE BEARING 8-10 L.10 (-100°C/+250°C),MI?NG ??M,58061090,MI?NG ??M
134019702,"RADIO BUMPER, CRADLE 45 SHA MIC",MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
142089500,"TRAY,TOP,ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089600,"TRAY,BOTTOM,ENGINE ONLY,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089700,"TRAY,BOTTOM,MULTI ENGINE,FIREFLY",KHAY (NH?A),39269059,KHAY (NH?A)
142089800,"BOX,10-PACK,ENGINE,FIREFLY",H?P ?ÓNG GÓI,48191000,H?P ?ÓNG GÓI
710036000,GOT LASER POINTER NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
019900912,"SPACER, RND, DURACON 4x8",MI?NG ??M (NH?A),39269059,MI?NG ??M (NH?A)
131123303,"ENCLOSURE,MGL3400",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
278172104,"BASKET,MIRROR,MGL34X0",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
278172403,"HORN,SPEAKER,MGL34XX",KHUNG ?? (NH?A),39269059,KHUNG ?? (NH?A)
084000380,"CAP,100NF,16V,X7R,10%,0201,ROHS",T? ?I?N,85322400,T? ?I?N
134020500,BUMPER-FLANGE-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
134020600,BUMPER-REAR-1.57 NEON,MI?NG ??M (CAO SU),40169390,MI?NG ??M (CAO SU)
278177301,FRONT COVER NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
278177801,CHASSIS NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
278179300,FLANGE NEON,KHUNG ?? (H?P KIM K?M),79070099,KHUNG ?? (H?P KIM K?M)
294053001,"WINDOW EXIT, NINJA",KÍNH (NH?A),39269059,KÍNH (NH?A)
000001428,CONN BM20 30PIN SMD P0.4 B TO B HEADER,??U N?I,85366939,??U N?I
025000291,"SWITCH, SMD, SGS P/MOM, 1MC, 2NF",CÔNG T?C,85365051,CÔNG T?C
054100208,IC STM32L051T8 WLCSP CORTEXM0+ 36PIN 64K,M?CH ?I?N T? TÍCH H?P,85423100,M?CH ?I?N T? TÍCH H?P
062000093,"BJT P/P,PEMB10,RES R1=2K2,R2=47K,SOT666",TRANSISTOR,85412900,TRANSISTOR
100419203,FE4192 PCB CS2251,M?CH IN,85340030,M?CH IN
296026300,"SCREW M1.4X0.3X1.7 THREADLOCK, BLACKZINC",?C VÍT,73181590,?C VÍT
298067400,LENS PROJECTOR NEON,TH?U KÍNH,90021900,TH?U KÍNH
103020100,"SCREW,MACHINE,PAN,TORX, M2X0.4, L 19mm",?C VÍT,73181590,?C VÍT
131070403,"ENCLOSURE TOP 65,DARK",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
700283004,"HANDLE CORDED ASSY HC, MIC",V? B?O V? (NH?A),39269059,V? B?O V? (NH?A)
