PARTNUMBER,DESCRIPTIONEN,DESCRIPTIONVI,HTS CODE
10154002,"SCREW 2,5X8 WN1411 WZ POZI",?C VÍT,7318150000
019260044,"BAG,ANTI-STATIC,SHPG,SP400",TÚI ?ÓNG GÓI,3923909000
019260049,"BAG,POLY,32""X30'",TÚI ?ÓNG GÓI,3923909000
019260051,"ENVELOPE,ANTI-STAT,7"" X 11.5""",TÚI ?ÓNG GÓI,3923909000
019260072,"BOX,15-1/2 X 4-1/8 X 8-3/4,5 PACK,QSD",H?P ?ÓNG GÓI (CARTON),4819100000
019260073,"BOX,15-1/2 X 8-1/4 X 8-3/4,10 PACK,QSD",H?P ?ÓNG GÓI (CARTON),4819100000
000001222,"CONN,STP HDR,6P,T HOLE,RT ANG,ROHS",??U N?I,8536693900
010001135,"RESTRCT,NUT,HEX,M2.5X4.5,STEEL,ZN PL,CR3",?AI ?C,#N/A
010001142,"RIVET,SNAP,.12"" OD,.28"" LONG,BLACK",RI-VÊ,7318290000
010001110,"SCREW,PT,K25X6MM,T7,TORX,PH,SS",?C VÍT,7318150000
018140003,"SCR,PT,K30X10,PAN,TORX,ZN,ROHS",?C VÍT,7318150000
018140004,"SCR,TORX,PN HD,K30X20,ZN,BLK PL,ROHS",?C VÍT,7318150000
018140005,"SCR,K22X6,TORX PAN HD,PT, SCREW,ZC,ROHS",?C VÍT,7318150000
018140007,"SCR,TORX,PN HD,K30X12,ZN BLACK PL,ROHS",?C VÍT,7318150000
010001111,"SCREW,PT,K25X7MM,T7,TORX,PH,CS,CLR",?C VÍT,7318150000
010001065,"SCR,PT,K35X12,PAN,TORX,CARBON STEEL",?C VÍT,7318150000
010001075,"SCR,RSTCT,PT,K25X8MM,FTHD,T8,TX,CS,CRZC",?C VÍT,7318150000
010001025,"SCR,K35X 12,PHILLIPS,PAN HD,T-PT",?C VÍT,7318150000
010001118,"SCREW,TORX,PN HD,K25X10,CLEAR ZINC",?C VÍT,7318150000
298031090,X-310 GOOD READING LENS,TH?U KÍNH,9002119000
3-0734-01,"PCBA,FLEX CBL,HDL TO MAIN BD,PS7000 BT",B?NG M?CH IN ?I?N T?,8473301000
3-0964-04,"PCBA,MAIN BD,SO,TSTD,MGL 8400",B?NG M?CH IN ?I?N T?,8473301000
3-0964-06,"PCBA,MAIN BD,SS,N/D,MORISON,TSTD,MG83,84",B?NG M?CH IN ?I?N T?,8473301000
3-0965-02,"PCBA,COLL BD,FRONT,TSTD,MGL 83/84",B?NG M?CH IN ?I?N T?,8473301000
3-0965-04,"PCBA,COLL BD,TSTD,BACK,MGL 83/84",B?NG M?CH IN ?I?N T?,8473301000
3-0966-02,"PCBA,CNTRL PANEL,TSTD,MGL 8300/8400",B?NG M?CH IN ?I?N T?,8473301000
3-0969-02,"PCBA,HH,ANTENNA,TSTD,PS7000BT",B?NG M?CH IN ?I?N T?,8473301000
3-0984-02,"PCBA,LASER POINTER/GRN SPOT,TSTD,PS7100",B?NG M?CH IN ?I?N T?,8473301000
3-0993-02,"PCBA,CNTRL PNL,GRN/RED,TSTD,MGL83/84",B?NG M?CH IN ?I?N T?,8473301000
3-0998-06,"PCBA,MAIN,I/F,5V,TSTD,QSD",B?NG M?CH IN ?I?N T?,8473301000
3-0998-08,"PCBA,TSTD,I/F,4-14V,TSTD,QUICKSCAN D",B?NG M?CH IN ?I?N T?,8473301000
3-0998-12,"PCBA,MAIN,I/F,4-14V,TSTD,QUICKSCAN D",B?NG M?CH IN ?I?N T?,8473301000
3-0999-06,"PCBA,MAIN,(1254)USB/WDG/WD/RS,TSTD,PS71",B?NG M?CH IN ?I?N T?,8473301000
3-0999-08,"PCBA,MAIN,(1254)IBM/USB/RS,TSTD,PS7100",B?NG M?CH IN ?I?N T?,8473301000
3-1000-02,"PCBA,CONTROL PANEL,TSTD,MGL8000",B?NG M?CH IN ?I?N T?,8473301000
3-1007-02,"PCBA,MAIN BD,SS,RED/GRN LED,TSTD,83/84",B?NG M?CH IN ?I?N T?,8473301000
3-1007-04,"PCBA,MAIN BD,SO,RED/GRN LED,TSTD,83/84",B?NG M?CH IN ?I?N T?,8473301000
3-1017-02,"PCBA,ILLUMINATION,TSTD,PWRSCN 7100",B?NG M?CH IN ?I?N T?,8473301000
3-1019-02,"PCBA,LED/BEEPER,TSTD,PS7100",B?NG M?CH IN ?I?N T?,8473301000
3-1020-02,"PCBA,RJ,TSTD,POWERSCAN 7100",B?NG M?CH IN ?I?N T?,8473301000
3-1021-14,"PCBA,MAIN BD,ADAPT SCALE,TSTD,MGL83/84",B?NG M?CH IN ?I?N T?,8473301000
3-1021-18,"PCBA,MAIN BD,WN,ADAPT SCALE,TSTD,M83/84",B?NG M?CH IN ?I?N T?,8473301000
3-1022-02,"PCBA,MAIN/RADIO,WDG/WA/USB/RS,BASE,TSTD",B?NG M?CH IN ?I?N T?,8473301000
3-1022-04,"PCBA,MAIN/RADIO,RS/USB/IBM,BASE,TSTD",B?NG M?CH IN ?I?N T?,8473301000
3-1027-02,"PCBA,HANDLE/RADIO RN-41,TSTD,PBT7100",B?NG M?CH IN ?I?N T?,8473301000
3-1031-08,"PCBA,5V,MAIN,HH,TSTD (1254),PBT7100",B?NG M?CH IN ?I?N T?,8473301000
ZC0500009,"ADH,LOCTITE 3106,UV,BONDING",KEO,3506100000
ZC0500012,"ADHESIVE,SEALENT,GLASS/METAL",KEO,3506100000
072000008,"ADH,MOD,SILANE MS939 LOCTITE,ROHS",KEO,3506100000
072000012,"ADH,UV CURE,300CP,DYMAX 3025,30ML",KEO,3506100000
199206200,"LENS,COLLECTION,MGL2200VS/2300HS",TH?U KÍNH,9002119000
199324400,"LENS,NEGATIVE,MGL2200VS/2300HS",TH?U KÍNH,9002119000
199430102,"CBL ASY,ROHS,ANTENNA,RF,85MM,PS7000BT",DÂY CÁP ?I?N,8544119000
199438700,"LENS COLLIMATION,PS7000",TH?U KÍNH,9002119000
199459700,"ADHESIVE,HORIZONTAL,LLT,MGL 8300",KEO,3506100000
199463900,"CABLE,COLLECTION PCB,WIRE,MGL 8300",DÂY CÁP ?I?N,8544119000
199464000,"CABLE,VLDM,FLAT,MGL 8300",DÂY CÁP ?I?N,8544119000
199464200,"CABLE,CONTROL PANEL PCB,WIRE,MGL 8300",DÂY CÁP ?I?N,8544119000
199465201,"BEZEL,SHORT,LLT,SO,MGL 8300",N?P ??Y (STAINLESS STEEL),7222409000
199467700,"ADHESIVE,PLATTER BEZEL,DLC,MGL 8300",KEO,3506100000
199469300,"SCR,MCH,M4/.7,L 8MM,T20,NI PLATE,PTCH,83",?C VÍT,7318150000
199469400,"SCR,MCH,M3/.5,L 6MM,T10,NI PLATE,PTCH,83",?C VÍT,7318150000
199471500,"CABLE,EAS,MGL8300",DÂY CÁP ?I?N,8544119000
199475600,"BOX,OUTER,SHORT,MGL8300",H?P ?ÓNG GÓI (CARTON),4819100000
199475700,"BOX,ACCESSORY,SHORT,MGL8300",H?P ?ÓNG GÓI,4819100000
199479900,"ENCLOSURE,UPPER,SCAN ENGINE,PS7100",KHUNG PH?N TRÊN (NH?A),3926909900
199480000,"ENCLOSURE,LOWER,SCAN ENGINE,PD7100",KHUNG PH?N D??I (NH?A),3926909900
199480100,"LENS,IMAGING NEAR FIELD,SCAN ENG,PS7100",TH?U KÍNH,9002119000
199480400,"LENS,IMAGING FAR FIELD,SCAN ENG,WARHOL",TH?U KÍNH,9002119000
199481100,"CABLE,HANDLE RJ,PD7100",DÂY CÁP ?I?N,8544119000
199481200,"LENS,ILLUMINATION,SCAN ENGINE,PS7100",TH?U KÍNH,9002119000
199488700,"LENS,IMAGING,QUICKSCAN IMAGER",TH?U KÍNH,9002119000
199491500,"SCR,MCH,M4/.7,L 30MM,T20,NI PLATE,PTCH",?C VÍT,7318150000
199492400,"LENS,ILLUMINATIN,SCAN ENG,QUICKSCAN I",TH?U KÍNH,9002119000
199493500,"LED,GREEN SPOT,QD21XX",?I?T PHÁT SÁNG,8541401000
199494600,"CABLE,LED/BEEPER,PD7100",DÂY CÁP ?I?N,8544119000
199495200,"BOX,STAND KIT,QUICKSCAN L/I",H?P ?ÓNG GÓI (CARTON),4819100000
199495300,"BOX,SINGLE SCANNER,QUICKSCAN I/L",H?P ?ÓNG GÓI (CARTON),4819100000
199495400,"LENS,GREENSPOT,MENISCUS,PS7100",TH?U KÍNH,9002119000
199496000,"BOX,INNER,2-PK,COBRA 8000",H?P ?ÓNG GÓI (CARTON),4819100000
199502900,"BOX,16-1/4X8-1/4X8-7/8,5 PK,STD/SCNR/QSD",H?P ?ÓNG GÓI (CARTON),4819100000
199503000,"BOX,16-5/8X16-1/4X8-7/8,10 PK,STD/SCNR/Q",H?P ?ÓNG GÓI (CARTON),4819100000
068002050,"VISIBLE LASER DIODE,7 MW,70 C.",?I?T,8541100000
5-2943,"ASSY,SPEAKER,MGL 1000I",C?M L?P RÁP LOA,8473309000
5-3142,"ASSY,MOTOR FACET WHEEL,MGL 8300",C?M L?P RÁP MÔ T?,8473309000
5-3146,"ASSY, BONNET,MGL 8300",C?M L?P RÁP N?P ??Y,8473309000
5-3147,"ASSY, UPPER CHASSIS, MGL 8300",C?M L?P RÁP KHUNG PH?N TRÊN,8473309000
5-3185,"ASSY,VERTICAL CHASSIS, MGL 8300",C?M L?P RÁP KHUNG TH?NG ??NG,8473309000
5-3186,"ASSY,VLDM,FRONT, MGL 8300",C?M CHI TI?T PHÍA TR??C,8473309000
5-3187,"ASSY,VLDM,BACK,MGL 8300",C?M CHI TI?T PHÍA SAU,8473309000
5-3188,"ASSY,OPTICS BLOCK,FRONT, MGL 8300",C?M L?P RÁP KH?I QUANG PHÍA TR??C,8473309000
5-3189,"ASSY,OPTICS BLOCK,BACK, MGL 8300",C?M L?P RÁP KH?I QUANG PHÍA SAU,8473309000
5-3190,"ASSY,BOTTOM CHASSIS, MGL 8300",C?M L?P RÁP KHUNG PH?N ?ÁY,8473309000
5-3191,"ASSY,CONTROL PANEL,MGL 8300",C?M L?P RÁP B?NG KI?M SOÁT,8473309000
5-3216,"ASSY,SPEAKER,MGL 8300",C?M L?P RÁP LOA,8473309000
5-3283-05,"ASSY,SCNR,NO SCALE,NO BONNET",C?M L?P RÁP,8473309000
5-3283-06,"SCNR ASSY,ADAPTIVE, MGL8300/8400",MÁY ??C MÃ V?CH,8471901000
5-3304,"ASSY,SCAN MODULE,POINTER,P7100",C?M L?P RÁP TH?U KÍNH H?I T?,8473309000
5-3305,"ASSY,GREEN SPOT,NO POINTER,PD7100",C?M L?P RÁP ?ÈN CH? TH?,8473309000
5-3322,"ASSY,POINTER/GREEN SPOT,P7100",C?M L?P RÁP ?ÈN CH? TH?,8473309000
5-3323-01,"MODULE ASSY,W/POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3323-02,"MODULE ASSY,NO POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3323-04,"MODULE ASSY,NO POINTER,POS I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3323-05,"MODULE ASSY,W/PTR,MULTI I/F,PBT7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3323-06,"MODULE ASSY,NO PTR,MULTI I/F,PBT7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3334,"ASSY,BONNET,MGL8000",C?M L?P RÁP N?P ??Y,8473309000
5-3335,"ASSY,PLATTER,DLC,MGL8000",C?M L?P RÁP N?P ??Y,8473309000
5-3350,"SCANNER,QUICKSCAN D 2110/BLACK 4-14V,I",MÁY ??C MÃ V?CH,8471901000
5-3351,"ASSY,SCANNER,QUICKSCAN D 2130/BLACK,5V,I",MÁY ??C MÃ V?CH,8471901000
5-3352,"ASSY,SCANNER,QUICKSCAN D 2130/WHITE,5V,I",MÁY ??C MÃ V?CH,8471901000
5-3356,"ASSY,PCB,OPTICAL,QUICKSCAN D,5V,I",C?M L?P RÁP B?NG M?CH IN ?I?N T? VÀ KH?I QUANG,8473309000
5-3357,"ASSY,PCB,OPTICAL,QUICKSCAN D,4-14V,I",C?M L?P RÁP B?NG M?CH IN ?I?N T? VÀ KH?I QUANG,8473309000
5-3371-01,"ASSY,TOP ENCLOSURE,Y/B,P7100",C?M L?P RÁP V? MÁY ??C MÃ V?CH ,8473309000
5-3371-02,"ASSY,TOP ENCLOSURE,B/B,P7100",C?M L?P RÁP V? MÁY ??C MÃ V?CH ,8473309000
5-3372-01,"ASSY,HANDLE ENCLOSURE,Y/B,P7100",C?M L?P RÁP TAY C?M,8473309000
5-3372-02,"ASSY,HANDLE ENCLOSURE,B/B,P7100",C?M L?P RÁP TAY C?M,8473309000
5-3373,"ASSY,TRIGGER/SEAL,P7100",C?M L?P RÁP NÚT B?M/ VÒNG ??M,8473309000
5-3376,"ASSY,CONTROL PANEL,GRN/RED,MGL8400",C?M L?P RÁP B?NG KI?M SOÁT,8473309000
5-3377,"ASSY,BONNET,GRN/RED,MGL8400",C?M L?P RÁP N?P ??Y,8473309000
5-3392-01,"ASSY, BEZEL,VERTICAL,W/LOGO,SO",C?M L?P RÁP N?P ??Y,8473309000
5-3393,"ASSY,ULTRASONIC WELD,OPTICAL,QS I",C?M L?P RÁP KH?I QUANG,8473309000
5-3400,"ASSY,PKG,INNER CONTAINER,COBRA 8000",C?M L?P RÁP H?P ?ÓNG GÓI,8473309000
5-3402-01,"ASSY,HORIZ,LLT PLATTER,SHORT,MGL 83/84",C?M L?P RÁP N?P ??Y,8473309000
5-3503,"PACKAGING,BULK,MGL8300/8400",H?P ?ÓNG GÓI (CARTON),4819100000
5-6529-05,"ASSY,SCNR,NO SCALE,NO BONNET,ENHANCED",MÁY ??C MÃ V?CH,8471901000
5-6530,"ASSY, UPPER CHASSIS,MGL8300/8400",C?M L?P RÁP KHUNG ??,8473309000
5-6531,"ASSY,VERTICAL CHASSIS,MGL8300/8400",C?M L?P RÁP KHUNG ??,8473309000
6003-0941,"CBL,AC CORD,120V AC,DOM,STD,1.55M",DÂY CÁP ?I?N,8544119000
068020010,"LAMP,LED,GREEN,T.HOLE,ROHS",?I?T PHÁT SÁNG,8541401000
721105700,"KIT,ROHS,COMMON PACKAGING,QD21X0,I",C?M L?P RÁP H?P ?ÓNG GÓI CHÂN ??,8473309000
721105800,"KIT,ROHS,STAND KIT PACKAGING,QD21X0,I",C?M L?P RÁP H?P ?ÓNG GÓI CHÂN ??,8473309000
8-0730-04,"CBL ASY,ROHS,RS,ICL PC,15'",DÂY CÁP ?I?N,8544119000
8-0769-03,"CBL ASY,ROHS,EAS,INTERLOCK,6'",DÂY CÁP ?I?N,8544119000
8-0858,"POWER ADAPTER,AC/DC REGULATED,8300",B? NGU?N,8504401900
90A052044,"CAB-426E ENHANCED USB TYPE A, 6' STRGHT",DÂY CÁP ?I?N,8544119000
90A051230,CAB-350 RS232 PWR STR. 9PIN  FEM.,DÂY CÁP ?I?N,8544119000
90G001010,CAB-321 STD IBM PS/2,DÂY CÁP ?I?N,8544119000
820026420,"MANUAL,QRG,MGL8300/8400",SÁCH H??NG D?N,4901999000
820027600,"INSERT,WEEE STATEMENT,DATALOGIC,MULTIPLE",SÁCH H??NG D?N,4901999000
820029060,"INSERT,CHINA TBL OF RSTCD ELMNT,SO,83/84",SÁCH H??NG D?N,4901999000
820029480,"INSTR,ADAPTER MOUNT REMOVAL,MGL83/84",SÁCH H??NG D?N,4901999000
820029580,"INSERT,CH,TBL OF REST.ELEMENTS,QS IMAGER",SÁCH H??NG D?N,4901999000
820029830,"MANUAL,QRG,QUICKSCAN IMAGER",SÁCH H??NG D?N,4901999000
STD-QD20-BK,"STAND,BLACK,QUICKSCAN D 90ACC1965",C?M L?P RÁP ?? ??,8473309000
STD-QD20-WH,"STAND,WHITE,QUICKSCAN D 90ACC1964",C?M L?P RÁP ?? ??,8473309000
5-3473-01,"MODULE ASSY,W/POINTER,MULIT I/F,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
5-3473-02,"MODULE ASSY,W/POINTER,POS I/F,MLT,PD7100",C?M L?P RÁP B? PH?N ?I?U KHI?N,8473309000
